12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.9643601272069305,0.12641904172892093,3227354,18238,2819355,650,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.9981993877918492,0.02910296790414979,3999489,16661,3883092,30,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.9833699041459752,0.8051909623147973,47313,8659,9217,144,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.9985022466300549,0.5979425695767466,3305774,10015,1329111,15,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9879015911624607,0.05232477975458072,3619031,78936,3429666,955,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
2,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6161_465_height_filtered.laz,0.8147396889790399,0.42872961862819725,6931084,7395,3959523,1370,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
3,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6162_472_height_filtered.laz,0.9759900218272529,0.013460908211633593,3627987,67347,3579151,1617,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
4,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6163_472_height_filtered.laz,0.9860065124822577,0.5389065590073755,8897947,59885,4102785,838,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
5,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_473_height_filtered.laz,0.9961284246873965,0.06225627870097317,11446476,57341,10733861,222,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
6,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_474_height_filtered.laz,0.9806269592476489,0.052271627941626875,16966929,15950,16080040,309,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
7,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_475_height_filtered.laz,0.9698918320415637,0.2145168298720319,16146528,23482,12682826,707,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
8,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6168_458_height_filtered.laz,0.9972532862468119,0.3049648453756276,1643596,15291,1142357,42,{'canny_lower': 10, 'canny_upper': 167, 'cc_area': 4705, 'closing_kernel_size': 3, 'distance_resolution': 8, 'hough_lines_treshold': 103, 'max_line_gap': 42, 'meters_around_line': 5, 'min_line_length': 20, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
